Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Caroprese, Luciano; Ruga, Tommaso; Vocaturo, Eugenio; Zumpano, Ester; ",Revealing brain tumor with federated learning,2023 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),,,3868-3873,2023,IEEE
"Caroprese, Luciano; Ruga, Tommaso; Vocaturo, Eugenio; Zumpano, Ester; ",Federated learning applications for breast cancer,2023 IEEE international conference on bioinformatics and biomedicine (BIBM),,,4029-4034,2023,IEEE
"Caroprese, Luciano; Ruga, Tommaso; Vocaturo, Eugenio; Zumpano, Ester; ",Lung cancer detection via federated learning,2023 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),,,3862-3867,2023,IEEE
"Gagliardi, Marco; Ruga, Tommaso; Zumpano, Ester; Vocaturo, Eugenio; ",Breast cancer classification via deep learning approaches,SPAST Reports,1,4,,2024,
"Maurmo, Danilo; Ruga, Tommaso; Zumpano, Ester; Vocaturo, Eugenio; ",Diagnosing Brain Tumors: An Artificial Intelligence Modeling Approach,SPAST Reports,1,4,,2024,
"Coscarella, Stefano; Ruga, Tommaso; Zumpano, Ester; Vocaturo, Eugenio; ",Predictive analysis for Alzheimer's diagnosis through data mining techniques,SPAST Reports,1,4,,2024,
"Ruga, Tommaso; Musacchio, Gaia; Maurmo, Danilo; ",An ensemble architecture for melanoma classification,pHealth 2024,,,183-184,2024,IOS Press
"Maurmo, Danilo; Ruga, Tommaso; Zumpano, Ester; Vocaturo, Eugenio; ",Revolutionizing Structural Health Monitoring and Preserving Cultural Heritage via Digital Twins,2024 IEEE International Workshop on Metrology for Living Environment (MetroLivEnv),,,92-97,2024,IEEE
"Folino, Fiorella; Ruga, Tommaso; Zumpano, Ester; Vocaturo, Eugenio; ",Visualizing Tourism's Future: The Impact of Image-Based AI on Destination Development,2024 IEEE International Workshop on Metrology for Living Environment (MetroLivEnv),,,81-86,2024,IEEE
"Ruga, Tommaso; Caroprese, Luciano; Vocaturo, Eugenio; Zumpano, Ester; ",Feasibility Analysis of an AI-Based Classification System for Cultural Heritage Building,2024 IEEE International Workshop on Metrology for Living Environment (MetroLivEnv),,,87-91,2024,IEEE
"Ruga, Tommaso; ",Classifying chest X-ray images with deep learning techniques: Challenges and explainable analysis,European Conference on Advances in Databases and Information Systems,,,343-350,2024,Springer Nature Switzerland Cham
"Ruga, Tommaso; ",Unveiling The Role of Large Language Models in Healthcare,International Conference on Innovations in Computational Intelligence and Computer Vision,,,13-24,2024,Springer Nature Singapore Singapore
"Gagliardi, Marco; Ruga, Tommaso; Vocaturo, Eugenio; Zumpano, Ester; ",Predictive analysis for early detection of breast cancer through artificial intelligence algorithms,International Conference on Innovations in Computational Intelligence and Computer Vision,,,53-70,2024,Springer Nature Singapore Singapore
"Ruga, Tommaso; Vocaturo, Eugenio; Zumpano, Ester; ",Explainable Deep Learning for Chest X-Ray Classification,2024 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),,,6561-6566,2024,IEEE
"Ruga, Tommaso; Vocaturo, Eugenio; Zumpano, Ester; ",On the Role of LLM to Forecast the Next Pandemic,2024 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),,,6567-6573,2024,IEEE
"Folino, Fiorella; Foresta, Maria Francesca; Maurmo, Danilo; Ruga, Tommaso; Zumpano, Ester; Vocaturo, Eugenio; ",AI Image-based Systems for Enhancing the Cultural Tourism Experience,2024 IEEE International Conference on Big Data (BigData),,,4720-4726,2024,IEEE
"Dattola, Francesco; Iaquinta, Pasquale; Iusi, Miriam; Federico, Deborah; Greco, Raffaele; Talerico, Marco; Coscarella, Valentina; Legato, Luca; Pellegrino, Ivana; Bergamaschi, Sonia; ",PRECEDE: Climate and Energy Forecasts to Support Energy Communities with Deep Learning Models,2024 IEEE International Conference on Big Data (BigData),,,4650-4658,2024,IEEE
"Maurmo, Danilo; Gagliardi, Marco; Ruga, Tommaso; Zumpano, Ester; Vocaturo, Eugenio; ",Boosting Agricultural Diagnostics: Cassava Disease Detection with Transfer Learning and Explainable AI,2024 IEEE International Conference on Big Data (BigData),,,4702-4710,2024,IEEE
"Aracne, Maira; Ruga, Tommaso; Lops, Camilla; Federico, Deborah; Caroprese, Luciano; Zumpano, Ester; Montelpare, Sergio; Pierantozzi, Mariano; Dattola, Francesco; Iaquinta, Pasquale; ",Comparing Deep Learning Approaches for Weather Forecasting: Insights from the PRECEDE Project,,,,,2025,
